datetime,temperature,rain,wind,humidity,discomfort_index,perceived_temperature
2016-06-21,22.6,2.0,86.0,,,22.252585322169413
2016-06-22,21.5,11.8,88.3,,,20.654859191934985
2016-06-23,23.7,0.0,71.6,,,23.942021423871605
2016-06-24,22.5,73.6,79.9,,,22.168013870928757
2016-06-27,20.4,0.1,81.8,,,19.159645345283923
2016-06-28,21.3,0.0,73.0,,,20.547754999100224
2016-06-29,21.6,1.7,78.4,,,20.906513573383965
2016-06-30,23.5,0.0,78.3,,,23.60207140838324
2016-07-01,23.9,43.1,84.6,,,24.12191481966705
2016-07-04,23.8,0.5,88.3,,,23.95208497522816
2016-07-05,26.5,0.1,80.9,,,27.84731441695419
2016-07-06,26.4,9.3,78.6,,,27.71347714817146
2016-07-07,25.9,0.0,78.1,,,27.0064371158825
2016-07-08,25.5,0.0,74.9,,,26.456195540451976
2016-07-11,24.4,2.2,84.9,,,24.833977822379715
2016-07-12,24.2,4.2,86.8,,,24.535466145463367
2016-07-13,25.8,0.0,80.1,,,26.85537518226288
2016-07-14,26.7,0.0,67.1,,,28.178418938397975
2016-07-15,25.0,0.0,64.9,,,25.815868784226247
2016-07-18,24.3,0.0,72.6,,,24.778460220554845
2016-07-19,24.7,0.0,74.5,,,25.328912365125227
2016-07-20,24.5,0.0,67.8,,,25.09594054120677
2016-07-21,24.3,0.0,71.8,,,24.784560562117708
2016-07-22,24.0,0.0,75.5,,,24.33276525860125
2016-07-25,28.0,28.4,76.4,,,29.985672912996677
2016-07-26,28.0,0.0,74.5,,,29.98782962596566
2016-07-27,28.6,0.0,71.6,,,30.83528540756661
2016-07-28,28.7,0.0,73.6,,,30.97604782233424
2016-07-29,28.6,0.0,74.6,,,30.834892614104266
2016-08-01,26.8,1.6,73.9,,,28.295594752811475
2016-08-02,25.9,10.2,78.9,,,27.002829904433632
2016-08-03,26.1,0.5,78.3,,,27.289154163943095
2016-08-04,27.1,0.0,73.6,,,28.719635415125893
2016-08-05,27.7,0.0,69.8,,,29.572291378535443
2016-08-08,27.5,0.4,73.0,,,29.28495247758817
2016-08-09,27.4,0.0,73.8,,,29.142275680357884
2016-08-10,29.1,0.0,67.0,,,31.535160182809935
2016-08-11,29.9,0.0,67.1,,,32.654178783902665
2016-08-12,30.5,0.0,66.3,,,33.4906658345246
2016-08-16,27.1,0.0,76.0,,,28.71323720568102
2016-08-17,26.8,13.9,78.3,,,28.281830290439984
2016-08-18,27.2,0.0,71.6,,,28.86578141222518
2016-08-19,27.5,0.0,68.9,,,29.293479867038485
2016-08-22,28.4,0.2,65.3,,,30.5570972707855
2016-08-23,26.8,1.1,73.0,,,28.298494697758887
2016-08-24,26.9,0.0,59.0,,,28.486272749831816
2016-08-25,26.6,0.0,69.0,,,28.03132753264591
2016-08-26,22.1,3.8,80.6,,,21.592397579263505
2016-08-29,21.1,0.1,61.1,,,20.43342507007781
2016-08-30,22.0,0.0,55.1,,,21.76566070063598
2016-08-31,24.8,0.0,43.6,,,25.72171875888708
2016-09-01,25.0,20.8,64.3,,,25.820088535899856
2016-09-02,19.2,76.4,89.8,,,17.336865584609814
2016-09-05,24.9,0.5,82.9,,,25.55982342355658
2016-09-06,24.2,0.0,81.4,,,24.57252785213797
2016-09-07,23.6,0.0,79.5,,,23.734030372500175
2016-09-08,23.3,0.0,68.1,,,23.413023391110634
2016-09-09,23.1,0.0,74.0,,,23.07478871021757
2016-09-12,20.3,8.5,84.9,,,18.97716677304127
2016-09-13,21.8,0.0,74.6,,,21.233545974500238
2016-09-19,20.7,0.0,62.5,,,19.856404930978314
2016-09-20,18.9,0.0,57.0,,,17.464495360087398
2016-09-21,18.0,0.0,68.4,,,15.984434060468882
2016-09-22,19.0,0.0,75.0,,,17.273503355248955
2016-09-23,19.8,0.0,74.1,,,18.417165705608525
2016-09-26,21.7,3.8,82.4,,,21.003910497986823
2016-09-27,24.1,0.0,82.0,,,24.425908067244094
2016-09-28,22.0,16.7,90.0,,,21.35508089352275
2016-09-29,18.7,4.0,86.4,,,16.668991531173212
2016-09-30,17.0,30.7,88.5,,,14.200332343164405
2016-10-04,21.8,1.9,72.1,,,21.263107716990397
2016-10-05,20.0,82.2,81.4,,,18.595621125460422
2016-10-06,18.9,0.0,68.5,,,17.243610708187706
2016-10-07,18.3,1.6,79.9,,,16.201110960977836
2016-10-10,14.4,0.0,69.9,,,10.901906904099944
2016-10-11,14.3,0.0,78.4,,,10.553132019520689
2016-10-12,15.6,0.0,69.9,,,12.586437095434345
2016-10-13,15.2,0.0,79.1,,,11.814294637540767
2016-10-14,14.8,0.0,72.1,,,11.4094637557634
2016-10-17,18.0,0.0,84.3,,,15.7014094162047
2016-10-18,16.7,0.0,78.6,,,13.95309293465731
2016-10-19,16.7,0.0,79.6,,,13.933763992961985
2016-10-20,16.2,0.0,78.1,,,13.253943561655344
2016-10-21,16.5,0.0,70.3,,,13.841134673439623
2016-10-24,14.8,0.0,63.4,,,11.631611658391241
2016-10-25,14.9,3.5,82.6,,,11.31206253704189
2016-10-26,13.9,0.0,77.6,,,10.005127605260629
2016-10-27,14.2,0.0,70.6,,,10.6030831651407
2016-10-28,14.0,10.7,81.4,,,10.057182944492496
2016-10-31,7.9,0.7,80.9,,,1.3928468349146632
2016-11-01,6.0,0.0,50.9,,,-0.011981149004983038
2016-11-02,5.5,0.0,56.3,,,-0.9747847795201601
2016-11-03,7.7,0.0,73.1,,,1.3786701077575456
2016-11-04,9.6,0.0,69.0,,,4.194695572737854
2016-11-07,12.4,0.0,71.9,,,8.03675718210952
2016-11-08,11.1,0.0,54.8,,,6.79455361193425
2016-11-09,5.8,0.0,46.9,,,-0.06369993279785291
2016-11-10,9.2,0.0,64.3,,,3.8044834936026497
2016-11-11,9.0,0.0,69.5,,,3.3356478326102055
2016-11-14,14.3,4.0,90.4,,,10.289122964887806
2016-11-15,11.3,0.0,56.0,,,7.023943699402883
2016-11-16,6.7,0.0,61.0,,,0.46339446804835305
2016-11-17,9.1,0.0,61.9,,,3.7568321737965285
2016-11-18,9.8,25.0,81.6,,,4.074334268501798
2016-11-21,10.7,0.0,82.6,,,5.327263647032613
2016-11-22,8.8,0.0,58.4,,,3.4815692488678076
2016-11-23,6.5,0.0,32.9,,,1.7825922773714247
2016-11-24,3.1,0.0,33.5,,,-2.739482689662764
2016-11-25,3.2,0.0,50.3,,,-3.798253263777845
2016-11-28,3.9,0.0,61.5,,,-3.4447479608121827
2016-11-29,3.7,0.0,56.0,,,-3.4375398599325395
2016-11-30,7.0,4.5,71.0,,,0.471555666261283
2016-12-01,7.3,0.0,59.1,,,1.378168752549212
2016-12-02,2.6,0.0,60.9,,,-5.217711063142173
2016-12-05,6.4,0.0,76.1,,,-0.5668562784662061
2016-12-06,3.6,0.0,40.0,,,-2.582894432067958
2016-12-07,0.4,0.0,68.4,,,-8.674304742371659
2016-12-08,3.2,0.0,70.4,,,-4.843115440398661
2016-12-09,6.9,0.0,49.9,,,1.2678985940802274
2016-12-12,3.7,0.0,54.9,,,-3.3777798090286697
2016-12-13,6.2,0.0,64.0,,,-0.3627181897081311
2016-12-14,2.7,0.0,48.1,,,-4.34262485125482
2016-12-15,-0.2,0.0,47.6,,,-8.24633145217876
2016-12-16,-1.2,0.0,35.8,,,-8.624174654454611
2016-12-19,5.9,11.0,86.6,,,-1.6514923089641798
2016-12-20,8.2,0.0,81.5,,,1.800134902055638
2016-12-21,6.8,45.7,87.5,,,-0.39286366832564656
2016-12-22,11.5,11.0,65.1,,,6.983031415734255
2016-12-23,4.1,0.0,49.4,,,-2.51835249394163
2016-12-26,5.7,15.3,86.0,,,-1.9170237201871174
2016-12-27,3.7,1.0,47.8,,,-2.9658485932848877
2016-12-28,-0.5,0.0,55.6,,,-9.19363516724908
2016-12-29,-0.3,0.0,47.5,,,-8.37487336400735
2016-12-30,-1.9,0.0,51.6,,,-10.845722130287541
2017-01-02,4.4,0.0,72.8,,,-3.2597620176245887
2017-01-03,2.5,0.0,68.4,,,-5.732068862487276
2017-01-04,1.8,0.0,71.9,,,-6.880772219339626
2017-01-05,4.5,0.0,68.1,,,-2.916689277127575
2017-01-06,5.7,0.0,60.5,,,-0.9003752651837589
2017-01-09,4.7,0.0,57.4,,,-2.132688348140333
2017-01-10,0.8,0.0,55.8,,,-7.417377023840908
2017-01-11,-0.1,0.0,33.0,,,-6.905552022954479
2017-01-12,0.8,0.0,55.3,,,-7.387105801963278
2017-01-13,-0.2,0.0,44.9,,,-8.04878730158719
2017-01-16,-2.4,0.0,39.8,,,-10.586706396363466
2017-01-17,-1.8,0.0,50.0,,,-10.59488570384819
2017-01-18,1.2,0.0,49.4,,,-6.4667409565028855
2017-01-19,-0.5,0.0,59.1,,,-9.409604371199814
2017-01-20,-0.6,0.0,50.1,,,-8.966293064860473
2017-01-23,-3.5,0.0,39.8,,,-12.056708708950623
2017-01-24,-3.4,0.0,44.1,,,-12.302570585343549
2017-01-25,-3.1,0.0,49.0,,,-12.290679610059211
2017-01-26,-0.2,0.0,45.8,,,-8.11571833311149
2017-01-31,-1.1,0.0,50.9,,,-9.703931680828072
2017-02-01,0.9,0.0,34.6,,,-5.736827347775171
2017-02-02,0.6,0.0,37.9,,,-6.421139881873343
2017-02-03,1.1,0.0,48.8,,,-6.563032028251799
2017-02-06,2.1,0.0,40.9,,,-4.656113756402451
2017-02-07,1.2,0.0,49.8,,,-6.492993569029848
2017-02-08,2.9,0.0,45.5,,,-3.9028280898362198
2017-02-09,0.1,0.0,31.5,,,-6.495490149557902
2017-02-10,-2.4,0.0,35.9,,,-10.223148466921966
2017-02-13,1.8,0.0,50.0,,,-5.688287074812967
2017-02-14,2.2,0.0,49.5,,,-5.111568063018178
2017-02-15,2.2,0.0,49.6,,,-5.117897682184441
2017-02-16,6.7,2.5,66.6,,,0.22534652397499233
2017-02-17,10.2,0.4,44.1,,,6.032908584061201
2017-02-20,7.4,0.4,45.3,,,2.1913998751047368
2017-02-21,1.6,0.0,48.3,,,-5.850073547884971
2017-02-22,3.4,30.1,84.5,,,-5.148916010700285
2017-02-23,4.1,0.0,42.6,,,-2.0924817845684056
2017-02-24,2.5,0.0,31.1,,,-3.3144088123508992
2017-02-27,5.1,0.0,60.1,,,-1.712801534463427
2017-02-28,5.1,0.0,55.9,,,-1.505334913376719
2017-03-02,4.5,1.3,50.6,,,-2.04258208057122
2017-03-03,4.0,0.0,48.6,,,-2.6068641044532965
2017-03-06,4.7,0.0,32.6,,,-0.55990928148419
2017-03-07,1.2,0.0,35.4,,,-5.411041029587132
2017-03-08,1.0,0.0,47.5,,,-6.610924180184842
2017-03-09,5.1,0.0,37.5,,,-0.4042088725663451
2017-03-10,5.6,0.0,42.0,,,-0.03839973381582329
2017-03-13,9.3,0.0,47.8,,,4.636852239954681
2017-03-14,8.4,0.0,43.4,,,3.64382673191309
2017-03-15,5.5,0.0,43.0,,,-0.2356874757007308
2017-03-16,6.5,0.0,56.0,,,0.4166909250857733
2017-03-17,6.5,0.0,49.5,,,0.7439687182808532
2017-03-20,7.1,7.9,75.4,,,0.448561425938105
2017-03-21,9.2,2.3,54.4,,,4.201312393633057
2017-03-22,6.9,0.0,55.4,,,0.995607658953114
2017-03-23,9.3,0.0,49.4,,,4.561516473409592
2017-03-24,8.1,0.0,61.3,,,2.392705796360823
2017-03-27,5.6,0.0,60.8,,,-1.0529316696791486
2017-03-28,7.4,0.6,55.6,,,1.6739644797271422
2017-03-29,7.0,4.5,86.6,,,-0.07733243447510851
2017-03-30,10.6,0.0,62.4,,,5.822033089967697
2017-03-31,9.9,2.6,69.9,,,4.584918686595933
2017-04-03,11.0,0.0,45.9,,,7.0289833033036775
2017-04-04,12.6,0.0,43.5,,,9.294158820236918
2017-04-05,13.4,48.5,77.4,,,9.301661455176866
2017-04-06,15.6,15.7,86.4,,,12.233651036549732
2017-04-07,15.0,0.0,69.5,,,11.753990946911346
2017-04-10,13.5,0.1,45.3,,,10.434484097544301
2017-04-11,13.2,11.5,59.0,,,9.541343957278972
2017-04-12,14.0,0.0,23.0,,,12.210968505662425
2017-04-13,13.7,0.0,42.5,,,10.815758151165216
2017-04-14,15.2,0.0,49.0,,,12.60740853212571
2017-04-17,14.2,16.5,88.6,,,10.183370038534605
2017-04-18,14.7,0.0,60.4,,,11.575605461128744
2017-04-19,14.6,0.0,36.1,,,12.287383746553957
2017-04-20,13.0,0.2,52.6,,,9.482031630248345
2017-04-21,14.3,0.0,56.1,,,11.150377871425036
2017-04-24,14.6,0.0,59.9,,,11.451332389349343
2017-04-25,17.3,0.1,68.1,,,15.009923603375032
2017-04-26,14.7,1.7,71.6,,,11.280924310962412
2017-04-27,14.7,0.0,29.5,,,12.732586063483836
2017-04-28,15.4,0.0,38.8,,,13.239165435798409
2017-05-02,15.7,0.0,49.6,,,13.268991762009312
2017-05-04,17.9,0.6,61.0,,,15.996822656227646
2017-05-08,17.7,0.0,50.3,,,15.974730646725344
2017-05-10,16.6,0.1,74.8,,,13.887249713364232
2017-05-11,19.9,0.0,61.6,,,18.760121195965816
2017-05-12,17.0,9.1,85.4,,,14.25429146440828
2017-05-15,16.0,0.0,49.0,,,13.695849543805926
2017-05-16,16.5,0.0,60.6,,,14.06494911808601
2017-05-17,17.1,0.0,60.5,,,14.89895241895909
2017-05-18,18.8,0.0,58.0,,,17.305793490798678
2017-05-19,20.3,0.0,53.8,,,19.452965063660535
2017-05-22,19.6,0.0,56.6,,,18.43729047450585
2017-05-23,18.9,0.0,67.6,,,17.259724298986328
2017-05-24,20.2,3.9,73.9,,,18.984504283105004
2017-05-25,21.5,0.0,51.9,,,21.12986667185082
2017-05-26,17.4,0.0,43.8,,,15.748871384856113
2017-05-29,23.5,0.0,51.6,,,23.86820934462153
2017-05-30,23.4,0.0,51.6,,,23.731540323066767
2017-05-31,21.3,0.8,69.3,,,20.59590868041479
2017-06-01,23.4,0.0,58.1,,,23.656194490051796
2017-06-02,20.0,0.0,49.3,,,19.131789603822753
2017-06-05,19.5,0.0,50.5,,,18.424982808435047
2017-06-07,19.6,12.6,72.3,,,18.163085089229213
2017-06-08,21.3,0.0,54.6,,,20.81156677623486
2017-06-09,22.6,0.0,49.6,,,22.666735255708346
2017-06-12,19.0,0.0,56.5,,,17.612680964791625
2017-06-13,18.8,0.3,65.8,,,17.152875080193105
2017-06-14,20.9,0.0,61.1,,,20.156002298653522
2017-06-15,23.3,0.0,48.8,,,23.63047289657165
2017-06-16,21.8,0.0,57.6,,,21.453856964152248
2017-06-19,24.1,0.0,54.5,,,24.658260361224286
2017-06-20,21.2,10.3,73.3,,,20.40296692801193
2017-06-21,22.5,0.0,66.6,,,22.309724655628223
2017-06-22,23.5,0.0,62.9,,,23.744046587913115
2017-06-23,23.8,0.0,62.9,,,24.16125022215248
2017-06-26,21.7,10.5,84.5,,,20.981305566829
2017-06-27,22.8,0.0,70.1,,,22.691516467124277
2017-06-28,23.4,0.0,66.6,,,23.567695561861637
2017-06-29,22.0,4.8,78.8,,,21.469489241351855
2017-06-30,24.1,0.0,75.9,,,24.47104813044489
2017-07-03,26.6,0.3,72.6,,,28.018086572455378
2017-07-04,26.1,1.9,80.5,,,27.280036375556836
2017-07-05,25.8,17.6,81.8,,,26.847635944178478
2017-07-06,24.8,5.2,89.6,,,25.37829247902691
2017-07-07,25.2,0.3,90.4,,,25.948456727609123
2017-07-10,26.9,0.0,85.8,,,28.402784047133387
2017-07-11,26.1,0.0,78.5,,,27.28831644321617
2017-07-12,27.4,0.0,75.6,,,29.13838626699321
2017-07-13,26.8,0.0,78.3,,,28.281830290439984
2017-07-14,26.7,0.0,81.9,,,28.128657829185578
2017-07-17,26.6,4.8,83.1,,,27.982390996541348
2017-07-18,26.7,1.9,83.6,,,28.123437872834625
2017-07-19,27.8,0.0,73.5,,,29.70696612126653
2017-07-20,28.5,0.0,78.1,,,30.69267250155163
2017-07-21,30.2,0.0,73.5,,,33.09117297126012
2017-07-24,29.7,0.1,79.4,,,32.39616866127845
2017-07-25,27.3,17.2,87.4,,,28.971432496045338
2017-07-26,26.1,0.0,69.9,,,27.32607626961036
2017-07-27,25.7,0.0,64.1,,,26.796608123722535
2017-07-28,27.2,0.0,68.0,,,28.875308554810506
2017-07-31,26.2,38.2,87.0,,,27.397434210628525
2017-08-01,27.3,0.0,81.5,,,28.983837572002475
2017-08-02,26.9,0.0,81.5,,,28.414545369490494
2017-08-03,27.5,0.0,71.8,,,29.28740575896221
2017-08-04,28.9,0.0,71.0,,,31.25708520321749
2017-08-07,30.5,0.0,60.3,,,33.46935344826583
2017-08-08,28.0,0.0,70.5,,,29.992525495319338
2017-08-09,26.7,0.2,87.0,,,28.113259990136413
2017-08-10,28.8,0.0,72.4,,,31.116816509263167
2017-08-11,26.6,28.8,78.8,,,27.996523458464953
2017-08-14,22.0,48.5,96.6,,,21.293157134947066
2017-08-16,26.3,0.8,85.5,,,27.54594816220458
2017-08-17,26.8,0.8,80.0,,,28.27668583738096
2017-08-18,26.6,0.0,77.4,,,28.00126459802145
2017-08-21,25.3,20.2,90.8,,,26.090175752871883
2017-08-22,26.1,8.1,88.8,,,27.247420039136344
2017-08-23,28.3,11.6,77.3,,,30.409608643289793
2017-08-24,29.4,0.3,68.3,,,31.956439572814514
2017-08-25,27.6,0.8,66.9,,,29.4376256663846
2017-08-28,24.9,0.0,71.0,,,25.634157433910417
2017-08-29,26.9,0.0,55.6,,,28.499052215934267
2017-08-30,22.3,0.0,45.8,,,22.317966667654574
2017-08-31,21.9,0.0,59.8,,,21.56093643345741
2017-09-01,22.7,0.0,50.8,,,22.785976475558837
2017-09-04,21.8,0.0,69.5,,,21.294779809785968
2017-09-05,21.5,0.7,76.3,,,20.78947055770576
2017-09-06,20.8,32.3,86.4,,,19.673577027531056
2017-09-07,20.6,1.0,81.0,,,19.454565158492812
2017-09-08,22.3,0.0,73.8,,,21.94821414059844
2017-09-11,20.9,74.4,87.5,,,19.803902082247895
2017-09-12,22.9,0.0,70.5,,,22.827812548901427
2017-09-13,20.6,0.0,62.9,,,19.711078123599258
2017-09-14,20.3,0.0,65.5,,,19.251986916047596
2017-09-15,20.0,0.0,58.8,,,18.94825394276885
2017-09-18,20.8,0.0,71.0,,,19.870656470370673
2017-09-19,21.7,0.0,70.6,,,21.14075829409567
2017-09-20,20.6,0.0,65.4,,,19.672219074324886
2017-09-21,18.2,0.0,70.0,,,16.234377802640374
2017-09-22,19.3,0.0,70.0,,,17.778727327492533
2017-09-25,21.7,0.0,72.5,,,21.117484588491802
2017-09-26,22.1,0.0,65.0,,,21.770448411818347
2017-09-27,19.2,8.2,81.5,,,17.455670471134965
2017-09-28,20.1,0.0,63.0,,,19.014061910063166
2017-09-29,15.8,0.0,58.3,,,13.15543433772356
2017-10-10,21.6,0.0,78.3,,,20.907664779320264
2017-10-11,21.1,0.0,72.8,,,20.268528930055727
2017-10-12,14.4,18.6,79.1,,,10.678770281167795
2017-10-13,14.3,0.0,58.9,,,11.065439872130138
2017-10-16,15.6,0.0,66.1,,,12.677511998527422
2017-10-17,14.9,0.0,75.4,,,11.472402531042372
2017-10-18,15.9,0.0,61.9,,,13.200053453904985
2017-10-19,16.6,0.0,61.4,,,14.184164415664306
2017-10-20,15.9,0.0,68.6,,,13.037544406288532
2017-10-23,14.9,0.0,48.4,,,12.219293171052204
2017-10-24,11.4,0.1,76.4,,,6.496939875880312
2017-10-25,11.3,0.0,72.5,,,6.470544278328859
2017-10-26,11.8,0.0,73.6,,,7.142691771196043
2017-10-27,13.1,0.0,69.8,,,9.079789921509557
2017-10-30,9.0,0.0,39.9,,,4.642214455477319
2017-10-31,8.1,0.0,58.0,,,2.5316399779501912
2017-11-01,9.9,0.0,61.9,,,4.867799383221052
2017-11-02,11.0,0.0,74.0,,,6.00238965807713
2017-11-03,12.1,0.0,65.5,,,7.807413079503588
2017-11-06,8.2,0.0,71.0,,,2.158433997053403
2017-11-07,13.0,0.0,74.9,,,8.800314378939234
2017-11-08,15.3,0.0,53.8,,,12.594540239796697
2017-11-09,9.8,0.0,61.4,,,4.747708639367668
2017-11-10,12.7,0.0,61.1,,,8.781668670257954
2017-11-13,8.1,0.0,68.1,,,2.1251705955137847
2017-11-14,10.2,0.0,47.9,,,5.854166371731878
